"","X","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_2","elec_system","pop_choice_2","GDP","occup","vote_eu","pop_att"
"11947",20347,47974,"IE",73,7,1,8,2,2,5,2,1,4,6,3,4,5,8,4,6,6,1,1,1,7,8,3,4,3,4,2,4,6,7,2,0,"Proportional","l",4.802866946,2,1,6.33333333333333
"11948",20348,48009,"IE",39,5,2,4,1,2,6,1,2,6,7,1,1,7,7,8,4,3,1,1,1,3,7,2,2,2,2,1,1,8,7,2,0,"Proportional","l",4.802866946,1,1,3.66666666666667
"11949",20351,48117,"IE",76,1,2,7,5,2,4,2,2,3,3,4,2,4,0,1,3,2,4,4,4,2,2,4,1,1,2,4,3,2,1,4,0,"Proportional","l",4.802866946,9,1,2
"11950",20353,48202,"IE",61,2,1,6,5,2,2,1,2,6,3,2,3,7,5,9,3,3,3,3,3,3,3,2,2,1,2,2,4,9,2,2,0,"Proportional","l",4.802866946,1,1,2
"11951",20355,48266,"IE",72,2,1,7,4,2,4,2,1,7,7,2,2,8,6,6,2,0,1,2,1,5,4,1,2,2,3,1,3,6,2,1,0,"Proportional","l",4.802866946,7,1,6
"11952",20356,48268,"IE",64,2,2,6,2,2,6,2,1,6,7,2,4,4,6,7,6,7,2,2,2,6,6,2,3,3,3,1,1,10,4,1,0,"Proportional","l",4.802866946,5,1,6
"11953",20357,48281,"IE",39,5,2,0,2,2,6,2,2,5,3,2,3,5,3,3,3,5,2,2,2,6,7,3,1,1,2,1,2,9,8,3,0,"Proportional","l",4.802866946,1,1,2.33333333333333
"11954",20358,48301,"IE",47,5,1,0,1,1,8,2,2,3,3,1,1,0,2,2,0,0,1,1,1,7,9,1,2,2,1,1,1,3,9,1,0,"Proportional","l",4.802866946,1,2,5
"11955",20359,48338,"IE",79,6,1,3,5,2,9,2,1,6,7,2,4,7,6,4,5,4,2,3,3,7,7,2,2,2,4,2,4,7,7,2,0,"Proportional","l",4.802866946,1,1,3.66666666666667
"11956",20365,48559,"IE",59,5,1,5,4,2,2,2,2,7,5,3,3,7,3,3,4,5,1,1,1,7,7,1,1,2,1,1,4,5,9,1,0,"Proportional","l",4.802866946,8,2,2
"11957",20366,48594,"IE",40,5,1,8,3,2,4,1,3,1,5,3,5,5,0,5,0,0,2,2,2,5,4,1,1,1,2,1,4,7,3,3,0,"Proportional","l",4.802866946,7,2,0
"11958",20367,48626,"IE",66,4,1,6,3,2,1,2,2,5,5,1,1,2,2,2,5,5,2,2,2,5,5,2,2,2,2,1,5,6,5,1,1,"Proportional","l",4.802866946,7,1,4
"11959",20370,48719,"IE",49,2,2,6,3,2,2,1,3,5,5,2,1,7,7,7,6,6,3,3,3,5,7,4,3,1,2,2,3,7,4,2,1,"Proportional","l",4.802866946,8,1,5.33333333333333
