"","idno","cntry","agea","eisced","gndr","rlgdgr","domicil","blgetmg","hinctnta","uemp3m","hincfel","stfdem","stfeco","gincdif","sofrdst","lrscale","trstep","trstun","stfgov","euftf","imsmetn","imdfetn","impcntr","imbgeco","imwbcnt","polintr","psppsgva","psppipla","frprtpl","freehms","hmsacld","atchctr","imueclt","impenv","vote_pop_1","elec_system","pop_choice_1","GDP","occup","vote_eu","pop_att"
"43",2237,"AT",78,3,2,0,2,2,7,1,1,4,7,4,3,3,8,9,3,8,1,2,3,5,7,2,1,1,2,1,4,10,8,1,0,"Proportional","r",1.550724086,8,1,4.33333333333333
"44",2284,"AT",73,3,2,7,4,2,3,2,3,8,6,1,2,5,5,6,7,1,2,3,3,6,3,3,2,2,3,3,4,9,4,1,0,"Proportional","r",1.550724086,5,1,5
"45",2370,"AT",39,3,2,7,4,2,9,2,2,8,7,2,2,6,3,6,7,1,2,3,4,4,2,3,3,2,4,1,1,9,2,1,3,"Proportional","r",1.550724086,9,1,4
"46",2437,"AT",72,3,1,4,4,2,5,2,3,8,6,2,1,5,5,6,5,1,2,3,3,6,4,2,2,2,2,2,4,9,5,1,0,"Proportional","r",1.550724086,7,1,5.33333333333333
"47",2508,"AT",60,4,2,8,4,2,8,2,1,6,8,2,3,6,4,4,7,1,2,3,3,3,1,1,2,2,3,3,4,10,2,1,0,"Proportional","r",1.550724086,3,1,3.33333333333333
"48",2580,"AT",60,3,2,3,1,2,3,1,2,7,8,3,4,4,8,8,1,8,2,2,2,7,4,2,3,3,4,1,1,10,4,2,0,"Proportional","r",1.550724086,5,1,6
"49",2702,"AT",27,5,2,4,4,2,4,2,1,0,7,1,3,5,7,7,3,5,1,1,1,7,7,3,3,3,4,1,1,9,7,2,0,"Proportional","r",1.550724086,4,1,4.66666666666667
"50",2911,"AT",32,7,2,3,1,2,4,2,2,7,8,1,4,4,5,5,4,5,2,2,3,6,8,1,3,4,2,1,1,7,8,1,0,"Proportional","r",1.550724086,2,1,2.33333333333333
"51",2963,"AT",56,3,2,3,1,2,7,2,1,3,7,3,3,0,4,4,0,6,1,1,1,7,6,1,2,5,3,1,1,8,9,1,0,"Proportional","r",1.550724086,9,1,4.66666666666667
"52",3008,"AT",24,3,1,2,3,2,3,2,1,5,4,1,2,7,0,2,5,3,2,2,2,2,3,4,1,1,2,1,1,10,2,2,4,"Proportional","r",1.550724086,7,1,3.33333333333333
"53",3042,"AT",46,6,2,10,4,2,8,2,1,8,8,2,2,5,8,8,6,10,1,1,1,8,8,1,4,4,4,1,1,10,8,1,0,"Proportional","r",1.550724086,2,1,8
"54",3147,"AT",69,7,1,0,1,2,5,2,1,8,3,1,1,0,3,5,0,5,1,1,1,8,6,1,2,2,4,1,1,9,8,2,0,"Proportional","r",1.550724086,2,1,5.33333333333333
"55",3195,"AT",26,3,2,6,4,2,2,2,2,9,7,2,2,1,8,8,9,7,2,2,2,9,8,3,2,2,3,1,1,10,10,1,0,"Proportional","r",1.550724086,5,1,9
"56",3262,"AT",50,3,2,4,4,2,7,1,2,7,7,1,2,6,5,5,7,7,2,2,2,6,6,3,2,2,2,1,1,8,6,2,0,"Proportional","r",1.550724086,5,1,3
"57",3323,"AT",52,3,2,0,1,2,8,1,1,7,9,2,3,2,7,6,7,10,2,3,4,6,8,3,3,3,2,2,2,10,7,4,0,"Proportional","r",1.550724086,5,1,4.66666666666667
"58",3409,"AT",39,4,1,4,4,2,8,2,2,7,6,2,1,5,6,6,4,1,2,3,3,5,2,2,2,2,2,2,3,8,4,1,0,"Proportional","r",1.550724086,4,1,5
"59",3502,"AT",34,5,2,10,2,1,7,2,2,2,4,3,1,5,2,4,3,0,1,4,4,0,0,3,2,3,3,1,1,7,0,2,3,"Proportional","r",1.550724086,2,2,2.33333333333333
"60",3566,"AT",31,7,2,2,2,2,3,2,1,4,8,2,1,3,8,9,2,8,2,2,1,7,6,1,4,3,3,1,1,7,9,1,0,"Proportional","r",1.550724086,1,1,7.33333333333333
"61",3590,"AT",62,3,1,5,1,2,2,1,3,4,5,4,4,7,1,1,7,1,2,3,3,1,2,2,3,3,3,3,5,9,1,2,3,"Proportional","r",1.550724086,5,2,4.33333333333333
"62",3651,"AT",74,3,1,2,1,2,4,2,1,3,8,2,4,4,3,4,3,8,2,3,4,3,5,2,1,1,2,1,2,10,0,2,3,"Proportional","r",1.550724086,7,1,3
"63",3667,"AT",61,2,1,5,4,2,3,2,2,6,7,2,2,6,1,1,5,1,2,3,3,3,3,2,2,2,2,3,3,10,3,2,0,"Proportional","r",1.550724086,7,2,4.33333333333333
"64",3676,"AT",26,3,1,3,3,2,3,2,1,5,10,2,2,7,2,6,7,3,2,3,4,3,3,3,1,2,2,2,4,10,3,2,3,"Proportional","r",1.550724086,7,1,2.33333333333333
"65",3678,"AT",45,7,2,3,1,2,5,2,1,7,7,1,4,5,7,8,3,4,2,2,2,6,5,2,4,3,3,1,2,7,7,1,0,"Proportional","r",1.550724086,2,1,6
"66",3684,"AT",49,6,2,0,1,2,4,2,2,4,6,2,3,0,6,5,6,6,1,3,3,6,5,3,1,1,4,2,2,9,6,2,0,"Proportional","r",1.550724086,2,1,6
"67",3814,"AT",67,5,1,3,4,2,8,2,1,7,8,1,4,3,4,6,5,3,3,2,2,7,6,1,2,3,4,1,1,10,5,1,0,"Proportional","r",1.550724086,3,1,4
"68",3838,"AT",69,4,2,2,1,2,3,2,1,3,5,1,1,3,4,5,0,5,3,2,1,5,5,1,2,5,4,1,1,3,8,1,0,"Proportional","r",1.550724086,5,1,4.33333333333333
"69",3851,"AT",41,3,1,2,1,2,8,1,1,4,4,1,2,8,2,1,2,3,3,3,3,1,1,3,2,2,1,1,1,9,1,2,3,"Proportional","r",1.550724086,5,1,4.33333333333333
"70",3917,"AT",85,2,2,9,4,2,2,1,1,6,5,2,2,3,2,2,5,2,2,3,3,6,5,3,2,2,3,2,2,9,5,2,0,"Proportional","r",1.550724086,8,1,3.66666666666667
"71",3949,"AT",21,4,1,3,3,2,9,2,2,8,8,2,5,5,8,8,8,7,1,2,2,8,5,2,3,3,3,1,1,9,8,2,0,"Proportional","r",1.550724086,5,1,7.33333333333333
"72",4018,"AT",75,3,1,7,3,2,6,2,2,6,7,2,4,5,4,2,5,0,1,3,3,3,4,2,1,1,3,2,2,8,3,2,0,"Proportional","r",1.550724086,1,1,3.66666666666667
"73",4081,"AT",48,7,2,1,1,2,7,1,1,6,9,1,1,0,6,8,0,10,1,1,1,9,8,1,2,3,3,1,1,5,9,1,0,"Proportional","r",1.550724086,2,1,5.66666666666667
"74",4180,"AT",77,5,2,6,1,2,3,2,2,6,6,3,3,5,3,3,6,6,3,2,2,7,5,2,2,3,3,1,1,9,7,1,0,"Proportional","r",1.550724086,3,1,4
"75",4199,"AT",40,4,1,0,1,2,5,2,1,3,9,2,5,2,5,8,0,8,1,1,1,10,10,2,2,2,4,1,1,10,10,2,0,"Proportional","r",1.550724086,2,1,2.66666666666667
"76",4268,"AT",46,3,1,2,4,2,10,2,1,5,6,3,3,5,4,3,6,2,4,4,4,4,1,2,2,3,3,2,4,8,2,3,3,"Proportional","r",1.550724086,7,2,4
"77",4283,"AT",78,7,2,7,2,2,6,2,1,5,10,4,3,5,8,10,5,8,2,2,3,7,3,4,1,1,3,2,3,8,3,1,4,"Proportional","r",1.550724086,2,1,2
"78",4347,"AT",26,5,2,1,3,2,9,2,1,3,5,2,2,3,6,8,1,5,3,3,3,2,3,4,2,1,3,1,1,9,2,1,0,"Proportional","r",1.550724086,3,1,2.66666666666667
"79",4376,"AT",47,1,1,5,2,2,4,2,1,8,6,1,1,5,3,1,6,6,2,3,2,6,6,3,2,3,3,1,1,10,9,2,0,"Proportional","r",1.550724086,5,1,8.33333333333333
